RacerID,Course,RacesRun,QuinellaRate,TrifectaRate,FirstPlaceRate,AvgStartTiming,Nige,Makuri,Sashi
3058,4,911,24.7,42.2,9.4,0.19,0,28,20
3058,5,677,18.9,33.9,4.8,0.19,0,2,13
3058,6,284,12.3,26.0,2.8,0.23,0,1,1
3064,1,1237,69.5,80.5,47.2,0.18,547,0,0
3064,2,1172,48.9,65.3,25.6,0.18,0,95,168
3064,3,1255,39.5,55.3,18.6,0.17,0,83,58
3064,4,1208,36.5,53.3,18.7,0.17,0,91,34
3064,5,650,24.9,41.0,11.6,0.17,0,18,10
3064,6,269,13.7,24.5,4.4,0.19,0,3,1
3065,1,952,36.1,55.0,17.9,0.24,140,1,1
3065,2,1108,29.0,51.6,8.3,0.25,0,29,42
3065,3,1173,26.1,48.7,8.3,0.24,0,46,18
3065,4,1088,22.0,45.0,7.6,0.24,0,31,19
3065,5,950,18.1,40.7,3.8,0.24,0,13,3
3065,6,655,8.2,26.1,0.9,0.25,0,1,2
3066,1,1374,42.5,61.5,21.0,0.2,260,0,1
3066,2,1553,28.9,50.6,10.6,0.2,0,68,64
3066,3,1154,23.2,42.2,9.1,0.21,0,59,12
3066,4,754,21.7,39.5,8.0,0.21,0,28,10
3066,5,421,12.1,29.4,3.3,0.22,0,5,3
3066,6,242,9.0,21.9,1.6,0.24,0,1,0
3070,1,1650,78.6,86.6,60.9,0.15,938,1,0
3070,2,1516,51.8,66.6,27.8,0.17,0,137,228
3070,3,1329,44.8,61.4,23.6,0.16,0,111,70
3070,4,1061,42.2,60.1,21.0,0.15,0,110,39
3070,5,384,37.7,52.6,16.9,0.16,0,22,17
3070,6,181,23.7,40.3,11.0,0.15,0,9,2
3072,1,2941,60.8,71.6,42.4,0.15,1180,2,2
3072,2,2213,33.1,49.0,14.1,0.16,0,78,215
3072,3,757,29.9,44.6,15.4,0.15,0,30,32
3072,4,263,27.7,41.8,10.2,0.16,0,7,6
3072,5,97,20.6,36.0,10.3,0.15,0,3,3
3072,6,47,12.7,36.1,2.1,0.17,0,0,0
3073,1,587,50.9,61.1,32.8,0.18,179,1,0
3073,2,589,38.2,53.3,20.0,0.19,0,52,59
3073,3,764,37.9,53.0,21.0,0.19,0,84,32
3073,4,987,39.5,53.8,21.6,0.18,0,101,26
3073,5,993,32.5,47.5,16.0,0.19,0,75,16
3073,6,1133,22.0,36.6,10.2,0.18,0,50,12
3075,1,1309,68.4,78.9,46.9,0.16,558,0,0
3075,2,1319,51.6,67.7,24.1,0.16,0,110,173
3075,3,1414,41.4,57.7,21.2,0.16,0,129,59
3075,4,1231,39.3,56.1,20.7,0.16,0,142,31
3075,5,989,23.7,41.5,8.9,0.16,0,33,9
3075,6,678,13.8,28.7,4.5,0.16,0,11,2
3079,1,899,59.6,72.3,35.2,0.2,281,0,0
3079,2,929,41.6,58.7,19.9,0.19,0,114,45
3079,3,1015,40.1,53.1,21.2,0.2,0,147,21
3079,4,910,39.0,53.6,22.7,0.2,0,113,22
3079,5,695,29.9,42.8,16.4,0.2,0,61,9
3079,6,488,23.5,37.3,9.0,0.21,0,26,4
3081,1,1443,77.6,85.4,60.3,0.17,807,0,0
3081,2,1460,56.7,71.3,31.3,0.17,0,167,245
3081,3,1038,44.8,62.0,22.5,0.17,0,116,50
3081,4,975,38.6,58.5,17.9,0.17,0,75,42
3081,5,723,25.4,43.4,9.1,0.17,0,14,14
3081,6,406,12.5,28.8,2.2,0.19,0,1,1
3085,1,671,64.9,78.0,39.9,0.18,237,0,0
3085,2,743,49.8,67.8,22.8,0.19,0,57,88
3085,3,712,41.9,60.6,20.2,0.19,0,52,39
3085,4,937,44.1,64.8,20.0,0.19,0,67,38
3085,5,890,32.2,54.4,12.7,0.19,0,31,14
3085,6,525,21.5,41.7,6.4,0.2,0,5,9
3090,1,549,39.5,55.1,21.8,0.21,104,0,0
3090,2,606,30.0,45.2,11.7,0.21,0,20,36
3090,3,683,25.3,38.0,13.7,0.21,0,43,26
3090,4,831,28.1,45.4,15.5,0.2,0,77,14
3090,5,819,14.5,29.0,7.3,0.19,0,20,8
3090,6,538,7.6,17.4,2.4,0.22,0,6,4
3095,1,790,53.6,73.1,26.4,0.17,194,0,0
3095,2,813,39.3,59.6,14.1,0.18,0,40,56
3095,3,895,34.8,55.8,15.5,0.17,0,66,35
3095,4,900,29.5,51.4,11.2,0.18,0,59,11
3095,5,758,22.4,40.5,7.2,0.18,0,21,11
3095,6,488,9.6,27.2,1.8,0.19,0,3,4
3105,1,1057,63.0,77.2,36.9,0.18,345,1,0
3105,2,999,43.9,63.0,20.0,0.19,0,114,63
3105,3,1157,39.3,59.8,16.0,0.19,0,91,34
3105,4,1209,35.6,56.2,16.6,0.18,0,112,21
3105,5,1267,24.3,43.6,7.9,0.18,0,43,11
3105,6,1065,14.2,32.8,3.2,0.2,0,12,7
3107,1,1237,67.7,81.3,44.7,0.17,518,0,1
3107,2,1211,41.8,62.1,17.5,0.19,0,69,121
3107,3,1232,36.8,57.2,17.6,0.18,0,96,54
3107,4,1335,33.0,54.6,15.2,0.18,0,95,37
3107,5,1062,23.0,41.5,8.7,0.18,0,34,15
3107,6,635,11.1,30.0,3.1,0.18,0,7,3
3108,1,775,46.7,62.8,24.6,0.18,161,0,0
3108,2,937,33.6,54.5,13.0,0.18,0,50,60
3108,3,1079,27.7,47.4,12.3,0.18,0,55,33
3108,4,1041,27.2,46.8,9.3,0.18,0,38,18
3108,5,781,18.4,36.8,5.8,0.18,0,11,4
3108,6,585,7.5,22.5,2.2,0.2,0,4,3
3117,1,836,25.8,45.1,11.4,0.26,84,0,1
3117,2,934,17.4,38.1,4.7,0.25,0,19,20
3117,3,823,9.8,23.0,2.9,0.26,0,12,8
3117,4,512,7.0,19.9,1.5,0.27,0,4,3
3117,5,385,3.6,17.4,0.7,0.27,0,1,1
3117,6,264,1.8,11.7,0.3,0.26,0,1,0
3120,1,516,50.5,66.6,29.6,0.2,144,0,0
3120,2,621,35.7,54.1,14.3,0.22,0,25,55
3120,3,614,28.8,48.2,11.4,0.22,0,22,21
3120,4,853,30.2,51.1,13.0,0.22,0,37,25
3120,5,829,19.7,38.0,7.2,0.22,0,16,13
3120,6,423,8.0,25.5,1.8,0.22,0,0,1
3121,1,988,66.4,80.5,45.4,0.16,404,0,0
3121,2,1127,52.8,69.7,27.9,0.18,0,91,187
3121,3,1168,40.2,58.4,21.4,0.18,0,98,54
3121,4,985,40.1,58.0,19.8,0.17,0,71,38
3121,5,677,23.3,45.3,6.6,0.18,0,13,10
3121,6,306,12.4,29.0,4.5,0.19,0,0,5
3122,1,897,56.7,71.3,31.2,0.19,253,0,0
3122,2,989,39.5,55.4,18.2,0.18,0,54,100
3122,3,968,35.3,53.9,15.1,0.18,0,41,28
3122,4,1059,30.6,50.1,12.1,0.19,0,48,36
3122,5,966,18.8,37.3,6.8,0.19,0,7,24
3122,6,715,10.4,25.0,2.2,0.19,0,4,7
3123,1,1035,51.2,67.2,31.5,0.19,304,0,1
3123,2,1408,36.2,53.7,14.4,0.2,0,78,100
3123,3,1303,27.5,49.5,10.9,0.21,0,51,41
3123,4,1128,27.1,47.0,10.9,0.19,0,40,35
3123,5,561,18.0,35.2,6.0,0.21,0,5,15
3123,6,149,12.0,22.1,2.6,0.23,0,0,1
3128,1,717,41.0,56.9,21.9,0.2,144,0,0
3128,2,825,26.1,42.5,10.1,0.23,0,21,50
3128,3,811,22.3,39.4,9.0,0.23,0,27,27
3128,4,722,15.7,32.5,6.7,0.22,0,19,15
3128,5,530,10.3,21.8,3.0,0.22,0,2,6
3128,6,421,7.8,16.8,1.9,0.22,0,4,1
3135,1,921,67.3,78.7,47.4,0.18,405,0,2
3135,2,1191,46.7,63.0,24.2,0.2,0,82,178
3135,3,952,38.8,54.9,21.6,0.19,0,79,55
3135,4,846,32.6,48.7,17.1,0.2,0,61,26
3135,5,537,16.5,33.3,6.8,0.2,0,10,8
3135,6,183,8.7,16.9,3.2,0.2,0,1,1
3136,1,760,46.9,61.4,25.2,0.16,175,0,1
3136,2,906,29.8,46.8,14.6,0.16,0,65,53
3136,3,890,26.7,42.2,12.9,0.17,0,78,14
3136,4,831,22.5,36.9,9.6,0.18,0,43,12
3136,5,525,15.2,28.3,5.1,0.18,0,9,7
3136,6,199,7.5,22.6,2.5,0.19,0,3,0
3137,1,608,37.9,57.2,20.0,0.22,106,0,1
3137,2,747,28.3,48.1,10.5,0.21,0,23,45
3137,3,898,25.6,48.5,9.6,0.21,0,40,27
3137,4,950,25.6,46.4,10.4,0.22,0,45,23
3137,5,866,17.4,37.6,5.3,0.22,0,14,14
3137,6,454,8.5,23.7,2.2,0.25,0,0,2
3138,1,575,29.0,49.5,12.5,0.26,62,0,0
3138,2,761,28.1,48.4,7.8,0.24,0,13,31
3138,3,856,21.7,42.4,6.7,0.23,0,17,15
3138,4,865,25.2,43.4,10.5,0.22,0,25,22
3138,5,730,14.3,33.0,3.5,0.23,0,3,5
3138,6,536,8.5,23.1,0.9,0.25,0,1,0
3139,1,914,32.7,50.8,12.5,0.23,97,0,0
3139,2,872,24.3,41.0,8.2,0.24,0,32,23
3139,3,634,19.4,37.7,6.6,0.24,0,10,10
3139,4,410,16.5,34.6,5.3,0.23,0,10,6
3139,5,261,16.4,32.5,4.2,0.21,0,2,2
3139,6,278,11.5,25.1,2.8,0.22,0,1,1
3141,1,966,63.1,75.8,38.2,0.18,340,0,0
3141,2,1019,40.8,61.3,16.7,0.19,0,49,95
3141,3,1039,35.3,53.0,18.0,0.19,0,75,50
3141,4,1149,34.2,53.5,17.4,0.18,0,98,40
3141,5,1086,25.9,43.3,10.5,0.17,0,44,14
3141,6,805,13.9,30.8,3.6,0.18,0,7,4
3142,1,586,33.6,53.2,17.2,0.23,89,1,0
3142,2,697,29.8,45.3,10.6,0.22,0,36,29
3142,3,691,23.5,44.4,8.6,0.22,0,22,24
3142,4,707,23.6,40.4,9.7,0.22,0,22,13
3142,5,673,11.5,28.2,2.9,0.22,0,5,3
3142,6,415,8.6,21.6,1.4,0.25,0,1,1
3151,1,1195,71.1,82.0,53.1,0.17,601,1,0
3151,2,1204,47.5,64.7,22.9,0.17,0,87,155
3151,3,1270,42.1,59.6,21.2,0.17,0,90,71
3151,4,1065,36.0,55.8,17.0,0.16,0,62,41
3151,5,755,23.0,38.9,8.7,0.18,0,13,16
